ucgid,NAME,GEO_ID,B07201_014MA,B07201_014M,B07201_014EA,B07201_014E,B07201_013MA,B07201_013M,B07201_013EA,B07201_013E,B07201_012MA,B07201_012M,B07201_012EA,B07201_012E,B07201_011MA,B07201_011M,B07201_011EA,B07201_011E,B07201_010MA,B07201_010M,B07201_010EA,B07201_010E,B07201_009MA,B07201_009M,B07201_009EA,B07201_009E,B07201_008MA,B07201_008M,B07201_008EA,B07201_008E,B07201_007MA,B07201_007M,B07201_007EA,B07201_007E,B07201_006MA,B07201_006M,B07201_006EA,B07201_006E,B07201_005MA,B07201_005M,B07201_005EA,B07201_005E,B07201_004MA,B07201_004M,B07201_004EA,B07201_004E,B07201_003MA,B07201_003M,B07201_003EA,B07201_003E,B07201_002MA,B07201_002M,B07201_002EA,B07201_002E,B07201_001MA,B07201_001M,B07201_001EA,B07201_001E
310M100US45780,"Toledo, OH Metro Area",310M100US45780,,1556,,2987,,1118,,2467,,1273,,3109,,688,,2177,,1368,,5286,,1868,,9968,,1449,,5947,,2171,,15915,,4262,,35035,,4451,,45011,,6273,,80046,,6778,,103714,,7506,,536018,,1107,,642719
310M100US45820,"Topeka, KS Metro Area",310M100US45820,,327,,389,,841,,1764,,122,,172,,733,,1503,,732,,1675,,1043,,3035,,938,,3147,,1523,,6182,,2021,,8536,,3996,,22026,,4064,,30562,,4264,,40183,,4263,,191182,,632,,231754
310M100US45860,"Torrington, CT Micro Area",310M100US45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US45900,"Traverse City, MI Micro Area",310M100US45900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US45940,"Trenton-Ewing, NJ Metro Area",310M100US45940,,1066,,2594,,192,,0,,192,,0,,150,,91,,150,,91,,3234,,14509,,1486,,4650,,3896,,19159,,3828,,15339,,2481,,7831,,4606,,23170,,5717,,42420,,5854,,318679,,1162,,363693
310M100US46020,"Truckee-Grass Valley, CA Micro Area",310M100US46020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US46060,"Tucson, AZ Metro Area",310M100US46060,,1374,,6312,,826,,1486,,993,,3849,,1256,,2933,,1603,,6782,,2944,,18995,,3178,,18933,,4643,,37928,,7119,,48889,,7461,,91645,,10388,,140534,,11125,,186730,,11261,,787406,,1506,,980448
310M100US46100,"Tullahoma, TN Micro Area",310M100US46100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US46140,"Tulsa, OK Metro Area",310M100US46140,,908,,3254,,1192,,4912,,880,,2851,,957,,5839,,1200,,8690,,2324,,14199,,1770,,12154,,2845,,26353,,3981,,50347,,4165,,61532,,5594,,111879,,6364,,151834,,6306,,784369,,1559,,939457
310M100US46180,"Tupelo, MS Micro Area",310M100US46180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US46220,"Tuscaloosa, AL Metro Area",310M100US46220,,678,,678,,1901,,2520,,594,,919,,328,,451,,653,,1370,,1748,,8356,,1616,,5727,,2572,,14083,,2040,,7721,,2757,,14566,,3280,,22287,,4004,,40260,,4705,,179231,,2237,,220169
310M100US46300,"Twin Falls, ID Micro Area",310M100US46300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US46340,"Tyler, TX Metro Area",310M100US46340,,553,,723,,2777,,4598,,1429,,1544,,1275,,2331,,1864,,3875,,1935,,5286,,1729,,6043,,2402,,11329,,2745,,9965,,2876,,11059,,4227,,21024,,5758,,40826,,6012,,170460,,854,,212009
310M100US46380,"Ukiah, CA Micro Area",310M100US46380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US46540,"Utica-Rome, NY Metro Area",310M100US46540,,616,,1624,,655,,1036,,439,,1004,,416,,467,,625,,1471,,917,,3943,,920,,3636,,1300,,7579,,2230,,13318,,2369,,11136,,3574,,24454,,3666,,34540,,3852,,258929,,787,,295093
310M100US46660,"Valdosta, GA Metro Area",310M100US46660,,565,,958,,837,,1275,,357,,524,,668,,936,,754,,1460,,1671,,4651,,1744,,4636,,2445,,9287,,2123,,10323,,3038,,12755,,3527,,23078,,4486,,35100,,4378,,108003,,1567,,144061
310M100US46700,"Vallejo-Fairfield, CA Metro Area",310M100US46700,,1892,,3778,,334,,452,,151,,179,,344,,789,,359,,968,,2879,,11521,,1878,,9804,,3439,,21325,,4904,,26120,,4451,,29925,,6680,,56045,,6950,,78790,,7025,,333317,,1102,,415885
310M100US47020,"Victoria, TX Metro Area",310M100US47020,,621,,795,,842,,1439,,123,,75,,547,,686,,564,,761,,1378,,2257,,1068,,2751,,1742,,5008,,1782,,5234,,1884,,5604,,2641,,10838,,3012,,18046,,3437,,98188,,1506,,117029
310M100US47220,"Vineland-Millville-Bridgeton, NJ Metro Area",310M100US47220,,618,,750,,75,,76,,84,,61,,192,,0,,84,,61,,1386,,4362,,974,,3462,,1602,,7824,,575,,1845,,2194,,6850,,2324,,8695,,2826,,16656,,3269,,138567,,627,,155973
310M100US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",310M100US47260,,1908,,9784,,1112,,3987,,1728,,3992,,1170,,2983,,2245,,6975,,5021,,41368,,3732,,26991,,6829,,68359,,6430,,55186,,9760,,151072,,11696,,206258,,13798,,285579,,13687,,1377338,,4280,,1672701
310M100US47300,"Visalia-Porterville, CA Metro Area",310M100US47300,,652,,1231,,410,,643,,154,,153,,3108,,2574,,3110,,2727,,1892,,6249,,3122,,7600,,3588,,13849,,4393,,23190,,5040,,22360,,6477,,45550,,8327,,62769,,8353,,381385,,1133,,445385
310M100US47380,"Waco, TX Metro Area",310M100US47380,,327,,369,,1595,,2762,,422,,374,,1023,,1429,,1108,,1803,,1969,,6969,,2308,,7553,,3070,,14522,,2733,,11921,,2674,,17618,,3703,,29539,,5043,,48626,,5039,,186306,,876,,235301
310M100US47580,"Warner Robins, GA Metro Area",310M100US47580,,465,,768,,106,,77,,950,,1090,,478,,777,,1042,,1867,,1128,,2678,,1449,,2410,,1662,,5088,,1916,,5825,,1686,,3852,,2554,,9677,,3114,,16709,,3346,,126425,,696,,143902
310M100US47700,"Warsaw, IN Micro Area",310M100US47700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",310M100US47900,,6885,,69869,,2264,,7848,,1924,,8747,,1618,,5970,,2259,,14717,,8904,,103869,,6389,,89536,,10001,,193405,,17683,,381647,,10204,,178716,,19965,,560363,,22498,,776333,,23102,,4884298,,3793,,5730500
310M100US47940,"Waterloo-Cedar Falls, IA Metro Area",310M100US47940,,135,,200,,965,,1742,,136,,132,,298,,553,,278,,685,,754,,2383,,606,,1466,,1044,,3849,,694,,2817,,2218,,11254,,2254,,14071,,2629,,20347,,2597,,146348,,504,,166895
310M100US48020,"Watertown-Fort Atkinson, WI Micro Area",310M100US48020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US48060,"Watertown-Fort Drum, NY Micro Area",310M100US48060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US48140,"Wausau, WI Metro Area",310M100US48140,,120,,150,,235,,599,,179,,196,,701,,1399,,752,,1595,,1424,,1679,,406,,658,,1462,,2337,,1731,,5969,,1914,,6098,,2415,,12067,,3186,,16598,,3121,,116432,,504,,133180
310M100US48300,"Wenatchee-East Wenatchee, WA Metro Area",310M100US48300,,530,,655,,378,,304,,205,,245,,221,,229,,305,,474,,983,,1113,,497,,921,,1103,,2034,,1246,,2793,,1175,,3053,,1855,,5846,,2265,,8658,,2381,,102704,,449,,112017
310M100US48540,"Wheeling, WV-OH Metro Area",310M100US48540,,145,,176,,1052,,1829,,354,,511,,246,,554,,429,,1065,,923,,2532,,421,,1373,,992,,3905,,2026,,8445,,1290,,3113,,2426,,11558,,3077,,18357,,3186,,126649,,444,,145182
310M100US48580,"Whitewater, WI Micro Area",310M100US48580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US48620,"Wichita, KS Metro Area",310M100US48620,,1335,,2459,,982,,3326,,822,,1439,,1379,,4681,,1654,,6120,,1733,,5933,,3077,,9172,,3317,,15105,,3516,,26950,,6157,,52921,,6621,,79871,,7125,,104422,,7104,,513617,,1335,,620498
310M100US48660,"Wichita Falls, TX Metro Area",310M100US48660,,730,,1020,,1026,,1573,,515,,811,,550,,915,,752,,1726,,2118,,6308,,1371,,4748,,2726,,11056,,1573,,4018,,1655,,6889,,2330,,10907,,3549,,25262,,3642,,122950,,560,,149232
310M100US48700,"Williamsport, PA Metro Area",310M100US48700,,59,,61,,458,,577,,282,,693,,330,,381,,427,,1074,,699,,1854,,525,,1022,,876,,2876,,1320,,5112,,1914,,7547,,2178,,12659,,2370,,17186,,2495,,98250,,732,,115497
310M100US48740,"Willimantic, CT Micro Area",310M100US48740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US48900,"Wilmington, NC Metro Area",310M100US48900,,834,,1371,,1104,,2754,,1740,,4215,,544,,818,,1938,,5033,,2852,,11658,,1651,,7514,,3250,,19172,,3248,,19114,,2695,,16719,,4116,,35833,,5957,,62792,,6265,,307606,,875,,371769
310M100US48980,"Wilson, NC Micro Area",310M100US48980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US49780,"Zanesville, OH Micro Area",310M100US49780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US49020,"Winchester, VA-WV Metro Area",310M100US49020,,367,,433,,382,,563,,437,,476,,225,,133,,489,,609,,1034,,2579,,1247,,1298,,1524,,3877,,2802,,7694,,1416,,2227,,2878,,9921,,3185,,14970,,3692,,113865,,2316,,129268
310M100US32580,"McAllen-Edinburg-Mission, TX Metro Area",310M100US32580,,3184,,8532,,945,,1903,,370,,605,,2104,,3092,,2062,,3697,,2287,,6275,,2993,,7833,,3416,,14108,,6452,,32162,,6885,,45227,,9010,,77389,,9328,,97097,,9670,,688958,,1884,,794587
310M100US10140,"Aberdeen, WA Micro Area",310M100US10140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US10180,"Abilene, TX Metro Area",310M100US10180,,644,,798,,509,,1421,,277,,377,,1467,,2508,,1498,,2885,,1715,,4443,,1278,,4772,,2127,,9215,,1607,,3633,,4000,,20166,,3959,,23799,,4547,,37320,,4654,,127119,,2230,,165237
310M100US10300,"Adrian, MI Micro Area",310M100US10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",310M100US10380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US10420,"Akron, OH Metro Area",310M100US10420,,673,,2101,,708,,888,,886,,2070,,502,,887,,977,,2957,,3386,,18301,,2155,,7208,,4104,,25509,,4440,,34331,,4127,,21128,,6436,,55459,,8195,,84813,,7972,,608007,,1447,,694921
310M100US32740,"Meadville, PA Micro Area",310M100US32740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310M100US32780,"Medford, OR Metro Area",310M100US32780,,305,,403,,446,,450,,608,,1190,,1050,,1412,,1180,,2602,,863,,2207,,2065,,4950,,2198,,7157,,3193,,12746,,2506,,11744,,4429,,24490,,4417,,34699,,4523,,169759,,639,,204861
310M100US32820,"Memphis, TN-MS-AR Metro Area",310M100US32820,,1397,,5119,,1607,,5121,,875,,2492,,2177,,5942,,2340,,8434,,3144,,12373,,2369,,15543,,3910,,27916,,6788,,60406,,8954,,108139,,10997,,168545,,10473,,210016,,10299,,1099843,,2663,,1314978
