ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US24540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley, CO Metro Area",671,648,442,670,1187,1134,595,637,1313,1771,2753,10889,2484,7079,3688,17968,1852,7067,3898,16102,4199,23169,4966,43578,4905,188893,870,233119,3100000US24540
3100000US24580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Green Bay, WI Metro Area",304,499,1555,2446,702,1206,495,718,937,1924,1333,3696,1262,4158,1652,7854,2155,12139,3589,20724,3928,32863,4247,45087,4248,250071,666,295657,3100000US24580
3100000US24620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeneville, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US24620
3100000US24660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greensboro-High Point, NC Metro Area",991,2121,786,1472,1514,4040,773,2136,1789,6176,3290,13689,3218,15954,4457,29643,4981,35576,5123,43312,6796,78888,7519,116179,8057,558767,1725,677067,3100000US24660
3100000US24780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenville, NC Metro Area",627,687,521,965,1797,3582,1609,2225,2403,5807,2145,5985,2245,5057,2851,11042,2044,4942,2869,14473,3161,19415,4588,37229,4933,124274,2120,162190,3100000US24780
3100000US24860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenville, SC Metro Area",956,2474,1632,2509,2180,4608,1037,2216,2552,6824,3063,15695,2567,13173,3502,28868,5771,47472,4564,23069,7484,70541,8176,108742,8444,483159,1376,594375,3100000US24860
3100000US24940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenwood, SC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US24940
3100000US25020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guayama, PR Metro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US25020
3100000US25060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gulfport-Biloxi, MS Metro Area",1058,1468,1295,1588,1289,1472,761,1052,1423,2524,3349,7356,2076,4371,3920,11727,4212,28302,3346,17208,4661,45510,5628,61349,6176,162739,3125,225556,3100000US25060
3100000US25180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hagerstown-Martinsburg, MD-WV Metro Area",711,1092,541,819,1144,999,208,195,1156,1194,1815,6484,1806,4791,2476,11275,2175,8819,2735,8683,3335,17502,4147,30790,4392,222353,2136,254235,3100000US25180
