ucgid,B07201_014EA,B07201_014MA,B07201_013EA,B07201_013MA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008EA,B07201_008MA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
310M100US13820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birmingham-Hoover, AL Metro Area",869,2128,1451,2712,2062,4555,1412,3283,2653,7838,2747,10134,3931,14749,5025,24883,9113,81816,6808,52425,10558,134241,11046,169674,11274,945227,1751,1117029,310M100US13820
310M100US13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bismarck, ND Metro Area",232,283,503,973,43,44,709,941,708,985,680,943,958,2044,1288,2987,1318,3036,2215,8375,2432,11411,2515,16356,2605,91287,507,107926,310M100US13900
310M100US13980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blacksburg-Christiansburg-Radford, VA Metro Area",379,552,1158,2095,494,809,175,181,510,990,2373,9592,1267,3789,2962,13381,2422,6931,2823,14581,3649,21512,4188,37978,4459,122134,2925,160664,310M100US13980
310M100US14020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington, IN Metro Area",847,1891,459,825,738,1281,1119,2063,1390,3344,2952,12449,1662,7742,3549,20191,1619,5702,2712,19087,3036,24789,3834,49149,4153,140020,2207,191060,310M100US14020
310M100US14060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington-Normal, IL Metro Area",339,313,112,132,865,771,614,1018,1036,1789,1647,6467,2154,4212,2483,10679,600,1505,2629,15039,2790,16544,3010,29144,3125,137566,722,167023,310M100US14060
310M100US14100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomsburg-Berwick, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US14100
310M100US14140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bluefield, WV-VA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US14140
310M100US14260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boise City-Nampa, ID Metro Area",718,1606,1149,3433,1486,3428,1634,3928,2144,7356,3029,11093,2219,8389,3605,19482,5153,31750,5779,45861,7182,77611,7929,107882,8677,502463,3125,611951,310M100US14260
310M100US14460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boston-Cambridge-Quincy, MA-NH Metro Area",6678,47444,1828,4151,1190,5608,869,2825,1609,8433,6033,65214,5543,55006,8962,120220,13711,305533,10874,171507,17210,477040,19664,609844,19733,3855426,2886,4512714,310M100US14460
310M100US14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder, CO Metro Area",1126,2660,1247,1708,465,614,298,321,504,935,2222,12218,2509,12161,3264,24379,3580,20415,2542,15341,3906,35756,4571,62778,4740,226957,747,292395,310M100US14500
310M100US14540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bowling Green, KY Metro Area",622,963,937,1629,509,931,448,465,621,1396,1568,4262,1196,2276,2052,6538,2001,4716,2505,11291,3339,16007,3790,25570,4204,98878,1791,125411,310M100US14540
310M100US14580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bozeman, MT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US14580
310M100US14660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brainerd, MN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US14660
310M100US14700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Branson, MO Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,310M100US14700
310M100US14740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bremerton-Silverdale, WA Metro Area",1936,3733,479,611,369,477,439,791,586,1268,1827,6490,3321,9436,3687,15926,3170,13060,3066,11257,4087,24317,4675,42122,5318,202559,845,248414,310M100US14740
310M100US14860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridgeport-Stamford-Norwalk, CT Metro Area",2078,7921,856,578,646,1176,331,526,714,1702,2952,15272,3559,14439,4802,29711,3624,19028,6014,45303,7526,64331,9011,96322,9257,804223,1358,908466,310M100US14860
310M100US15180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brownsville-Harlingen, TX Metro Area",605,1566,546,545,95,56,287,236,303,292,1738,2892,1778,4586,2369,7478,4415,14130,4237,16059,6597,30189,7468,38504,7463,361457,1276,401527,310M100US15180
310M100US15260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brunswick, GA Metro Area",409,471,575,578,1212,1296,603,432,1301,1728,992,1320,1166,2270,1631,3590,1609,3718,2503,7001,2909,10719,3708,16615,4205,88753,2412,105839,310M100US15260
310M100US15380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buffalo-Niagara Falls, NY Metro Area",2139,5845,612,1548,845,2452,1096,2048,1424,4500,3280,13953,1831,7747,3896,21700,6088,49178,5879,56455,8397,105633,9180,133381,9072,984779,1634,1124005,310M100US15380
310M100US15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burlington, NC Metro Area",780,633,151,83,181,186,673,645,701,831,1907,4900,2102,3536,3017,8436,2765,10845,1979,4515,3496,15360,4795,24710,4803,124729,440,150072,310M100US15500
310M100US15540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burlington-South Burlington, VT Metro Area",681,1535,745,1870,356,839,649,799,829,1638,1290,5140,999,2403,1782,7543,2641,15223,1756,8431,3019,23654,3747,34705,3867,172160,1000,208400,310M100US15540
310M100US15940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Canton-Massillon, OH Metro Area",318,422,461,630,1099,2267,605,873,1195,3140,1815,6212,1093,3180,2189,9392,3988,22573,3244,17663,4834,40236,5366,53398,5546,344971,2218,398791,310M100US15940
310M100US15980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Coral-Fort Myers, FL Metro Area",2213,6171,574,805,1502,3272,1635,2082,2321,5354,2993,16238,3849,14598,5145,30836,5589,38630,7234,44894,8740,83524,9648,120519,9793,486666,1157,613356,310M100US15980
310M100US16020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Girardeau-Jackson, MO-IL Metro Area",282,289,1774,3138,178,196,338,333,368,529,956,2127,287,563,1010,2690,2384,5932,2038,6957,3181,12889,3783,19246,4165,77943,2381,97478,310M100US16020
