ucgid,B07201_014EA,B07201_014MA,B07201_013MA,B07201_013EA,B07201_012MA,B07201_012EA,B07201_011MA,B07201_011EA,B07201_010EA,B07201_010MA,B07201_009EA,B07201_009MA,B07201_008MA,B07201_008EA,B07201_007MA,B07201_007EA,B07201_006MA,B07201_006EA,B07201_005MA,B07201_005EA,B07201_004EA,B07201_004MA,B07201_003EA,B07201_003MA,B07201_002MA,B07201_002EA,B07201_001MA,B07201_001EA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US45820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Topeka, KS Metro Area",210,308,695,955,1213,1911,645,973,1300,2884,1213,2470,846,1984,1535,4454,1453,5045,3808,21803,3801,26848,4345,35141,4784,186135,2630,221584,3100000US45820
3100000US45860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Torrington, CT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US45860
3100000US45900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Traverse City, MI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US45900
3100000US45940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Trenton-Ewing, NJ Metro Area",1226,2083,262,187,116,69,46,23,122,92,2753,9739,1568,4492,3095,14231,3695,13072,4016,11923,5378,24995,6690,39505,6755,298636,1063,340224,3100000US45940
3100000US46020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Truckee-Grass Valley, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US46020
3100000US46060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tucson, AZ Metro Area",3429,9912,1109,2299,1446,4372,2976,7411,3118,11783,3608,21353,4227,21102,5269,42455,4020,26226,9625,101314,10475,127540,10378,184077,11624,693981,1933,887970,3100000US46060
3100000US46100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tullahoma, TN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US46100
3100000US46140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tulsa, OK Metro Area",1528,4786,1983,5295,1168,2704,1848,6592,2309,9296,1843,8026,4030,14224,4389,22250,5976,52761,6992,65484,8984,118245,8888,155086,9213,696941,3106,856813,3100000US46140
3100000US46180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tupelo, MS Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US46180
3100000US46220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa, AL Metro Area",1754,2573,972,2357,403,627,56,32,388,659,1318,3447,1642,3776,2174,7223,2597,8156,2263,11067,3724,19223,3998,29462,4587,155383,3364,187418,3100000US46220
3100000US46300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twin Falls, ID Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US46300
3100000US46340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyler, TX Metro Area",540,768,867,1928,1234,2317,1095,1802,1577,4119,1752,4165,1682,5834,2462,9999,2383,7306,2742,12732,3858,20038,3812,36084,4081,144741,835,181593,3100000US46340
3100000US46380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ukiah, CA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US46380
3100000US46540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Utica-Rome, NY Metro Area",958,1365,708,865,329,811,434,538,534,1349,2616,6179,1067,2229,2868,8408,3189,15423,2259,11271,4051,26694,5194,37316,5351,239895,738,278576,3100000US46540
3100000US46660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdosta, GA Metro Area",1026,1375,866,1622,430,376,799,1527,876,1903,966,1870,1194,2596,1449,4466,2213,4615,2365,8871,3026,13486,3399,21477,3785,92466,1775,115318,3100000US46660
3100000US46700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vallejo-Fairfield, CA Metro Area",1010,1930,238,186,134,159,561,685,592,844,2277,8682,3541,10954,4694,19636,4861,20825,5218,26183,6806,47008,8296,67674,8441,318313,1072,387917,3100000US46700
3100000US46940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vero Beach, FL Metro Area",351,436,542,339,471,389,673,621,891,1010,2247,5773,2017,5069,2828,10842,1631,5569,1560,3919,2277,9488,3514,21679,3683,102920,455,125035,3100000US46940
3100000US47020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Victoria, TX Metro Area",217,224,802,1120,309,264,1570,1361,1579,1625,1482,2419,1114,2280,1937,4699,1533,3623,2732,9265,3219,12888,4014,20332,4621,95710,4008,116266,3100000US47020
3100000US47220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vineland-Millville-Bridgeton, NJ Metro Area",475,691,268,0,268,0,268,0,268,0,944,2181,296,336,945,2517,916,1426,2662,8742,2753,10168,2935,12685,3122,124974,641,138350,3100000US47220
3100000US47260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2671,9610,2212,7057,1069,2110,1495,3845,1822,5955,4790,38443,3496,24132,6124,62575,5293,47036,10290,145127,11940,192163,13427,267750,14534,1283625,5139,1560985,3100000US47260
3100000US47300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visalia-Porterville, CA Metro Area",543,1336,734,674,825,644,523,530,1033,1174,1082,3560,3586,10093,3774,13653,3022,14296,3271,14865,4531,29161,5295,44662,5258,350112,1407,396110,3100000US47300
3100000US47380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waco, TX Metro Area",1512,1883,979,2776,170,157,723,938,729,1095,2932,4710,1274,4718,3423,9428,2445,6830,4480,23308,4687,30138,5529,43437,5706,165993,900,211313,3100000US47380
3100000US47580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warner Robins, GA Metro Area",477,442,592,862,602,811,714,1356,856,2167,1789,4677,1326,2471,2481,7148,2296,4981,2715,10382,3395,15363,3841,25540,4040,95206,644,121188,3100000US47580
3100000US47700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warsaw, IN Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US47700
3100000US47900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5223,58900,1479,4404,2032,7275,2730,6720,3490,13995,6474,84667,7458,87595,9987,172262,20134,400990,11804,184571,24340,585561,24409,776222,26705,4206773,5896,5041895,3100000US47900
3100000US47940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waterloo-Cedar Falls, IA Metro Area",295,324,1429,3144,242,253,449,379,504,632,1068,2258,1077,2267,1624,4525,1381,4808,2533,13468,2848,18276,3187,26577,3387,125198,1282,152099,3100000US47940
3100000US48020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Watertown-Fort Atkinson, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US48020
3100000US48060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Watertown-Fort Drum, NY Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US48060
3100000US48140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wausau, WI Metro Area",188,215,375,571,283,260,329,628,418,888,1415,1871,1058,1918,1684,3789,1885,6303,1745,3700,2639,10003,2719,15251,2862,110085,608,125551,3100000US48140
3100000US48260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weirton-Steubenville, WV-OH Metro Area",326,496,101,108,833,714,59,33,836,747,700,1410,734,1559,1265,2969,2302,6835,1151,3332,2399,10167,2915,13991,2756,107269,446,121756,3100000US48260
3100000US48300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wenatchee, WA Metro Area",144,111,691,783,592,768,301,251,667,1019,822,1406,730,1572,1105,2978,2634,7977,2294,5953,3686,13930,3667,18710,3779,82824,664,101645,3100000US48300
3100000US48540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wheeling, WV-OH Metro Area",124,101,361,359,152,209,298,317,332,526,1011,2107,289,455,1018,2562,2040,9045,1196,2888,2179,11933,2532,15380,2492,125299,401,140780,3100000US48540
3100000US48580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whitewater, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US48580
3100000US48620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wichita, KS Metro Area",880,2876,2278,5569,1172,2581,798,2468,1445,5049,1498,4791,2063,7737,2676,12528,4059,24786,7725,64877,8354,89663,8517,112809,8619,450320,2287,566005,3100000US48620
3100000US48660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wichita Falls, TX Metro Area",546,688,1052,2234,670,673,295,339,724,1012,1076,2128,1753,3572,1824,5700,1394,3469,2838,10355,2921,13824,3280,22770,4494,111889,2562,135347,3100000US48660
3100000US48700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamsport, PA Metro Area",131,152,153,150,358,694,474,434,558,1128,456,1154,427,844,542,1998,1508,5639,1385,4147,1985,9786,2077,13062,1961,98378,424,111592,3100000US48700
3100000US48740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willimantic, CT Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US48740
3100000US48900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilmington, NC Metro Area",503,945,870,1884,1474,2374,947,1677,1714,4051,2272,8805,2510,9351,3250,18156,3574,19314,3350,19026,4591,38340,6006,62431,5941,241621,930,304997,3100000US48900
3100000US48980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilson, NC Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US48980
3100000US49020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winchester, VA-WV Metro Area",294,203,635,929,268,0,268,0,268,0,1848,3966,961,1779,2285,5745,3014,8683,651,1003,3150,9686,4001,16360,4514,96909,3043,113472,3100000US49020
3100000US49180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston-Salem, NC Metro Area",1235,2286,386,463,974,1811,723,1410,1275,3221,1948,7030,1599,4837,2714,11867,3776,18965,5010,28191,6008,47156,6131,62707,5837,366712,1176,431705,3100000US49180
3100000US49220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin Rapids-Marshfield, WI Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US49220
3100000US49300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wooster, OH Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US49300
3100000US49340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester, MA Metro Area",2098,3706,521,532,1430,1351,238,325,1447,1676,3824,15241,2963,8785,4588,24026,6053,42099,4152,18898,7167,60997,9294,87231,9496,660316,1211,751253,3100000US49340
3100000US49420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakima, WA Metro Area",704,842,692,770,930,1280,131,115,930,1395,1448,2858,1609,2521,2284,5379,4848,15978,3891,14606,5129,30584,5947,38128,5974,184696,974,223666,3100000US49420
