NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E
"Charlotte-Concord-Gastonia, NC-SC",15628.0,2516.0,6954.0,4461.0,11415.0,68742.0,48528.0,117270.0,101237.0,114830.0,216067.0,347268.0,2361490.0,2724386.0
"Charlottesville, VA",2464.0,4207.0,687.0,290.0,977.0,9719.0,5028.0,14747.0,8018.0,7875.0,15893.0,35824.0,183451.0,221739.0
"Chattanooga, TN-GA",2883.0,2246.0,2357.0,391.0,2748.0,21989.0,8001.0,29990.0,19431.0,26705.0,46136.0,81120.0,483576.0,567579.0
"Cheyenne, WY",424.0,443.0,524.0,821.0,1345.0,2857.0,3209.0,6066.0,2662.0,5101.0,7763.0,15617.0,84032.0,100073.0
"Chicago-Naperville-Elgin, IL-IN-WI",62046.0,3297.0,8665.0,6003.0,14668.0,80557.0,92674.0,173231.0,432006.0,383960.0,815966.0,1007162.0,8278006.0,9347214.0
"Chico, CA",236.0,1395.0,451.0,1106.0,1557.0,6760.0,4702.0,11462.0,11493.0,12490.0,23983.0,38397.0,167028.0,205661.0
"Chillicothe, OH Micro Area",,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN",10892.0,2894.0,4165.0,3959.0,8124.0,35884.0,20962.0,56846.0,135397.0,37678.0,173075.0,240939.0,1991863.0,2243694.0
"Clarksburg, WV Micro Area",,,,,,,,,,,,,,
"Clarksville, TN-KY",3305.0,2333.0,1388.0,1076.0,2464.0,11665.0,11948.0,23613.0,11571.0,18301.0,29872.0,58282.0,268637.0,330224.0
"Clearlake, CA Micro Area",,,,,,,,,,,,,,
"Cleveland, TN",243.0,346.0,541.0,793.0,1334.0,2892.0,1317.0,4209.0,3448.0,4283.0,7731.0,13620.0,113800.0,127663.0
"Cleveland-Elyria, OH",8687.0,1491.0,3175.0,2177.0,5352.0,37469.0,21025.0,58494.0,117985.0,54937.0,172922.0,238259.0,1797626.0,2044572.0
"Coeur d'Alene, ID",0.0,272.0,871.0,944.0,1815.0,6796.0,3986.0,10782.0,7667.0,4071.0,11738.0,24607.0,157355.0,181962.0
"College Station-Bryan, TX",2242.0,2643.0,143.0,1561.0,1704.0,15516.0,12899.0,28415.0,3172.0,30425.0,33597.0,66359.0,207677.0,276278.0
"Colorado Springs, CO",9365.0,2039.0,3139.0,2613.0,5752.0,28516.0,30348.0,58864.0,14162.0,50464.0,64626.0,131281.0,615661.0,756307.0
"Columbia, MO",698.0,1174.0,609.0,1517.0,2126.0,6150.0,4930.0,11080.0,4564.0,16609.0,21173.0,35553.0,176396.0,212647.0
"Columbia, SC",6337.0,2068.0,2162.0,1570.0,3732.0,34857.0,14432.0,49289.0,49425.0,15130.0,64555.0,119644.0,711794.0,837775.0
"Columbus, GA-AL",1139.0,1093.0,577.0,463.0,1040.0,13517.0,7537.0,21054.0,4220.0,17822.0,22042.0,45229.0,274444.0,320812.0
"Columbus, IN",1431.0,4.0,1015.0,833.0,1848.0,3580.0,1306.0,4886.0,1398.0,2126.0,3524.0,10262.0,71068.0,82761.0
"Columbus, OH",15435.0,2748.0,7545.0,4964.0,12509.0,41009.0,23770.0,64779.0,84485.0,132537.0,217022.0,297058.0,1822966.0,2135459.0
"Concord, NH Micro Area",,,,,,,,,,,,,,
"Cookeville, TN Micro Area",,,,,,,,,,,,,,
"Corning, NY Micro Area",,,,,,,,,,,,,,
"Corpus Christi, TX",2215.0,433.0,816.0,516.0,1332.0,6785.0,4439.0,11224.0,8811.0,32038.0,40849.0,53838.0,360151.0,416204.0
"Corvallis, OR",2144.0,0.0,227.0,391.0,618.0,6228.0,6566.0,12794.0,2300.0,5584.0,7884.0,21296.0,73561.0,97001.0
"Crestview-Fort Walton Beach-Destin, FL",2703.0,632.0,1633.0,326.0,1959.0,11963.0,11312.0,23275.0,17016.0,5431.0,22447.0,48313.0,245257.0,296273.0
"Cullman, AL Micro Area",,,,,,,,,,,,,,
"Cumberland, MD-WV",0.0,447.0,45.0,95.0,140.0,1901.0,804.0,2705.0,3324.0,2591.0,5915.0,9207.0,84394.0,93601.0
"Dallas-Fort Worth-Arlington, TX",66041.0,10718.0,10539.0,10027.0,20566.0,120818.0,134780.0,255598.0,350505.0,400432.0,750937.0,1037819.0,6742024.0,7845884.0
"Dalton, GA",515.0,0.0,396.0,0.0,396.0,2659.0,1408.0,4067.0,6518.0,2900.0,9418.0,13881.0,127535.0,141931.0
"Danville, IL",0.0,137.0,0.0,292.0,292.0,464.0,244.0,708.0,2502.0,1541.0,4043.0,5180.0,66567.0,71747.0
"Danville, VA Micro Area",,,,,,,,,,,,,,
"Daphne-Fairhope-Foley, AL",835.0,321.0,1932.0,196.0,2128.0,10674.0,4537.0,15211.0,9041.0,7121.0,16162.0,33822.0,209161.0,243818.0
"Davenport-Moline-Rock Island, IA-IL",2504.0,834.0,2043.0,1787.0,3830.0,6967.0,4756.0,11723.0,15643.0,14442.0,30085.0,46472.0,325601.0,374577.0
"Dayton-Kettering, OH",4112.0,2250.0,1275.0,3509.0,4784.0,19679.0,13258.0,32937.0,49345.0,25845.0,75190.0,115161.0,683928.0,803201.0
"Decatur, AL",48.0,70.0,327.0,59.0,386.0,3401.0,3014.0,6415.0,4726.0,3736.0,8462.0,15333.0,139903.0,155284.0
"Decatur, IL",194.0,411.0,199.0,5.0,204.0,1384.0,713.0,2097.0,1051.0,9433.0,10484.0,13196.0,86979.0,100369.0
"Deltona-Daytona Beach-Ormond Beach, FL",2974.0,1331.0,1904.0,453.0,2357.0,27936.0,15390.0,43326.0,24021.0,15284.0,39305.0,86319.0,612086.0,701379.0
"Denver-Aurora-Lakewood, CO",14353.0,6399.0,4861.0,3539.0,8400.0,58565.0,64626.0,123191.0,136364.0,184576.0,320940.0,458930.0,2481181.0,2954464.0
"Des Moines-West Des Moines, IA",2057.0,3458.0,788.0,1770.0,2558.0,11090.0,9977.0,21067.0,31239.0,33876.0,65115.0,92198.0,626413.0,720668.0
"Detroit-Warren-Dearborn, MI",23795.0,3907.0,4683.0,2377.0,7060.0,41811.0,33042.0,74853.0,208598.0,114408.0,323006.0,408826.0,3868248.0,4300869.0
"Dothan, AL",437.0,766.0,954.0,574.0,1528.0,2575.0,2105.0,4680.0,4446.0,3494.0,7940.0,14914.0,135768.0,151119.0
"Dover, DE",632.0,201.0,58.0,287.0,345.0,4750.0,2096.0,6846.0,8835.0,4071.0,12906.0,20298.0,164268.0,185198.0
"Dublin, GA Micro Area",,,,,,,,,,,,,,
"DuBois, PA Micro Area",,,,,,,,,,,,,,
"Dubuque, IA",96.0,1184.0,467.0,176.0,643.0,2100.0,1528.0,3628.0,1230.0,4234.0,5464.0,10919.0,86670.0,97685.0
"Duluth, MN-WI",231.0,1195.0,1051.0,866.0,1917.0,6821.0,5207.0,12028.0,12416.0,8569.0,20985.0,36125.0,252972.0,289328.0
"Durham-Chapel Hill, NC",7273.0,1365.0,1877.0,2165.0,4042.0,18648.0,27854.0,46502.0,10564.0,23623.0,34187.0,86096.0,566213.0,659582.0
"East Stroudsburg, PA",315.0,0.0,86.0,221.0,307.0,6540.0,3435.0,9975.0,5351.0,1028.0,6379.0,16661.0,149281.0,166257.0
"Eau Claire, WI",696.0,3227.0,1768.0,628.0,2396.0,4379.0,2024.0,6403.0,4054.0,6914.0,10968.0,22994.0,148609.0,172299.0
"El Centro, CA",322.0,5.0,4.0,0.0,4.0,1260.0,636.0,1896.0,4058.0,6696.0,10754.0,12659.0,162878.0,175859.0
"Elizabethtown-Fort Knox, KY",774.0,2936.0,554.0,2164.0,2718.0,6559.0,2377.0,8936.0,5623.0,1774.0,7397.0,21987.0,133960.0,156721.0
"Elkhart-Goshen, IN",2050.0,1414.0,1657.0,0.0,1657.0,3274.0,1456.0,4730.0,7521.0,6815.0,14336.0,22137.0,179442.0,203629.0
"Elmira, NY",1228.0,656.0,177.0,57.0,234.0,1821.0,697.0,2518.0,1934.0,2073.0,4007.0,7415.0,72341.0,80984.0
"El Paso, TX",6273.0,966.0,843.0,862.0,1705.0,13743.0,11202.0,24945.0,10694.0,54894.0,65588.0,93204.0,761077.0,860554.0
"Enid, OK",326.0,441.0,100.0,362.0,462.0,1469.0,1951.0,3420.0,348.0,6293.0,6641.0,10964.0,49826.0,61116.0
"Erie, PA",2207.0,377.0,1006.0,324.0,1330.0,4312.0,2350.0,6662.0,9270.0,9530.0,18800.0,27169.0,235042.0,264418.0
"Eugene-Springfield, OR",1852.0,2116.0,1147.0,1501.0,2648.0,10473.0,12248.0,22721.0,7652.0,29224.0,36876.0,64361.0,313071.0,379284.0
"Eureka-Arcata, CA Micro Area",,,,,,,,,,,,,,
"Evansville, IN-KY",1121.0,2579.0,1405.0,775.0,2180.0,5308.0,3844.0,9152.0,14220.0,12806.0,27026.0,40937.0,269515.0,311573.0
"Fairbanks, AK",890.0,442.0,147.0,700.0,847.0,8527.0,1716.0,10243.0,5012.0,3672.0,8684.0,20216.0,73013.0,94119.0
"Fargo, ND-MN",874.0,2991.0,2722.0,1161.0,3883.0,4681.0,3730.0,8411.0,12074.0,17590.0,29664.0,44949.0,209737.0,255560.0
"Faribault-Northfield, MN Micro Area",,,,,,,,,,,,,,
"Farmington, MO Micro Area",,,,,,,,,,,,,,
"Farmington, NM",195.0,71.0,386.0,478.0,864.0,1007.0,1691.0,2698.0,4224.0,2134.0,6358.0,9991.0,109430.0,119616.0
"Fayetteville, NC",5725.0,2095.0,3108.0,1988.0,5096.0,21720.0,12575.0,34295.0,19882.0,23876.0,43758.0,85244.0,431716.0,522685.0
"Fayetteville-Springdale-Rogers, AR",5407.0,3191.0,2324.0,1708.0,4032.0,10750.0,12620.0,23370.0,21022.0,32011.0,53033.0,83626.0,479999.0,569032.0
"Findlay, OH Micro Area",,,,,,,,,,,,,,
"Flagstaff, AZ",230.0,269.0,899.0,552.0,1451.0,7973.0,7462.0,15435.0,4042.0,6182.0,10224.0,27379.0,115628.0,143237.0
"Flint, MI",66.0,597.0,220.0,892.0,1112.0,9807.0,4558.0,14365.0,19282.0,5508.0,24790.0,40864.0,357267.0,398197.0
"Florence, SC",494.0,3906.0,279.0,483.0,762.0,3268.0,1007.0,4275.0,8648.0,2191.0,10839.0,19782.0,176771.0,197047.0
"Florence-Muscle Shoals, AL",300.0,872.0,779.0,24.0,803.0,4814.0,3214.0,8028.0,5840.0,4804.0,10644.0,20347.0,132006.0,152653.0
"Fond du Lac, WI",552.0,561.0,1613.0,227.0,1840.0,1581.0,1855.0,3436.0,3361.0,3715.0,7076.0,12913.0,89748.0,103213.0
"Fort Collins, CO",2370.0,828.0,2134.0,525.0,2659.0,16816.0,16333.0,33149.0,10673.0,18269.0,28942.0,65578.0,294720.0,362668.0
"Fort Payne, AL Micro Area",,,,,,,,,,,,,,
"Fort Smith, AR-OK",745.0,3986.0,667.0,880.0,1547.0,6834.0,5376.0,12210.0,7911.0,5956.0,13867.0,31610.0,211665.0,244020.0
"Fort Wayne, IN",1136.0,1349.0,2474.0,3781.0,6255.0,6684.0,5511.0,12195.0,7349.0,28004.0,35353.0,55152.0,363711.0,419999.0
"Frankfort, KY Micro Area",,,,,,,,,,,,,,
"Fresno, CA",4363.0,154.0,444.0,155.0,599.0,20366.0,11225.0,31591.0,30273.0,45381.0,75654.0,107998.0,888912.0,1001273.0
"Gadsden, AL",591.0,87.0,1378.0,75.0,1453.0,2580.0,968.0,3548.0,3932.0,2358.0,6290.0,11378.0,89645.0,101614.0
"Gainesville, FL",2791.0,1331.0,1781.0,711.0,2492.0,18592.0,8735.0,27327.0,12698.0,20662.0,33360.0,64510.0,280758.0,348059.0
"Gainesville, GA",2180.0,1807.0,1085.0,723.0,1808.0,15264.0,2538.0,17802.0,5030.0,3727.0,8757.0,30174.0,177938.0,210292.0
"Gallup, NM Micro Area",,,,,,,,,,,,,,
"Gettysburg, PA",409.0,289.0,88.0,0.0,88.0,3688.0,762.0,4450.0,3019.0,914.0,3933.0,8760.0,96304.0,105473.0
