NAME,B07201_014E,B07201_013E,B07201_012E,B07201_011E,B07201_010E,B07201_009E,B07201_008E,B07201_007E,B07201_006E,B07201_005E,B07201_004E,B07201_003E,B07201_002E,B07201_001E,Year
"Bismarck, ND",111.0,999.0,384.0,663.0,1047.0,1126.0,1501.0,2627.0,2467.0,5433.0,7900.0,12573.0,82599.0,95283.0,2005
"Blacksburg-Christiansburg-Radford, VA",769.0,854.0,526.0,119.0,645.0,5783.0,3128.0,8911.0,9542.0,12227.0,21769.0,32179.0,106460.0,139408.0,2005
"Bloomington, IN",948.0,0.0,299.0,776.0,1075.0,3398.0,2343.0,5741.0,6473.0,16376.0,22849.0,29665.0,128486.0,159099.0,2005
"Bloomington-Normal, IL",1464.0,145.0,179.0,522.0,701.0,4818.0,2744.0,7562.0,2678.0,12793.0,15471.0,23879.0,119469.0,144812.0,2005
"Bloomsburg-Berwick, PA Micro Area",1464.0,145.0,179.0,522.0,701.0,4818.0,2744.0,7562.0,2678.0,12793.0,15471.0,23879.0,119469.0,144812.0,2005
"Bluefield, WV-VA Micro Area",1464.0,145.0,179.0,522.0,701.0,4818.0,2744.0,7562.0,2678.0,12793.0,15471.0,23879.0,119469.0,144812.0,2005
"Boise City-Nampa, ID",3223.0,1942.0,4033.0,4266.0,8299.0,12360.0,13779.0,26139.0,25970.0,49662.0,75632.0,112012.0,406331.0,521566.0,2005
"Boston-Cambridge-Quincy, MA-NH",35229.0,2206.0,4596.0,1851.0,6447.0,48827.0,40623.0,89450.0,302625.0,149300.0,451925.0,550028.0,3627164.0,4212421.0,2005
"Boulder, CO",2082.0,1755.0,686.0,730.0,1416.0,8838.0,9017.0,17855.0,15618.0,16551.0,32169.0,53195.0,212604.0,267881.0,2005
"Bowling Green, KY",925.0,1638.0,1439.0,414.0,1853.0,2493.0,3054.0,5547.0,2286.0,8557.0,10843.0,19881.0,83503.0,104309.0,2005
"Bozeman, MT Micro Area",925.0,1638.0,1439.0,414.0,1853.0,2493.0,3054.0,5547.0,2286.0,8557.0,10843.0,19881.0,83503.0,104309.0,2005
"Brainerd, MN Micro Area",925.0,1638.0,1439.0,414.0,1853.0,2493.0,3054.0,5547.0,2286.0,8557.0,10843.0,19881.0,83503.0,104309.0,2005
"Branson, MO Micro Area",925.0,1638.0,1439.0,414.0,1853.0,2493.0,3054.0,5547.0,2286.0,8557.0,10843.0,19881.0,83503.0,104309.0,2005
"Bremerton-Silverdale, WA",1764.0,1682.0,1190.0,667.0,1857.0,11670.0,7130.0,18800.0,11973.0,9608.0,21581.0,43920.0,183890.0,229574.0,2005
